voltage,frequency,load,generation,stress,label
0.8361,49.207,1.0229,0.1527,0.6521,2
0.92,49.5833,1.8837,0.2288,0.9447,1
0.9962,49.9839,0.2389,0.4878,0.0644,0
1.0151,50.8497,0.3146,0.3949,0.7606,3
0.9052,49.5517,0.6171,0.0655,0.4976,4
1.0007,48.5145,0.5172,0.4037,0.5499,3
0.8861,49.4433,1.7184,0.2776,0.9105,1
0.88,49.9371,1.0705,0.1709,0.5586,2
0.8939,49.107,1.8555,0.2301,0.9805,1
0.9857,48.7533,0.7768,0.7292,0.6893,3
0.8888,49.7768,0.5897,0.066,0.661,4
0.8876,49.7323,0.7464,0.1223,0.6847,2
0.9734,50.1327,0.2384,0.8186,0.1283,0
0.9213,49.3076,0.7482,0.1431,0.7825,4
0.997,50.1239,0.5259,0.4929,0.0713,0
0.9566,49.3154,1.8866,0.535,0.993,1
1.0003,49.869,0.3239,0.5627,0.0659,0
0.9232,49.2911,0.9508,0.0581,0.7985,4
0.8563,49.5047,0.6008,0.0495,0.7011,4
0.9641,48.8535,0.9344,0.724,0.55,3
0.9296,49.7334,0.5861,0.0984,0.748,4
0.9276,49.6566,1.5857,0.3507,0.9167,1
0.9336,49.5803,1.8433,0.4742,0.8106,1
0.991,51.1015,0.9658,0.405,0.7448,3
0.8981,49.0963,1.4463,0.5378,0.6405,1
0.9502,49.7069,0.4226,0.0505,0.7948,4
0.9278,49.108,1.5085,0.4771,0.8499,1
0.9377,49.0306,1.6186,0.4878,0.9878,1
0.8842,49.5988,0.6694,0.0801,0.5893,4
1.0385,51.5818,0.6993,0.4644,0.7462,3
0.9903,50.9107,0.4398,0.5628,0.7929,3
1.0085,50.1496,0.4773,0.3616,0.1269,0
0.9871,50.1052,0.3364,0.8432,0.0221,0
0.941,49.0617,0.9192,0.7583,0.5867,3
0.9902,51.9929,0.5624,0.2169,0.8189,3
0.8871,49.3238,0.7008,0.3489,0.7784,2
0.9407,49.3284,1.7692,0.5623,0.6076,1
0.9468,49.3842,1.8363,0.4111,0.6445,1
0.8261,49.3097,0.6669,0.2917,0.7491,2
0.9767,50.1621,0.4984,0.3099,0.0773,0
0.9375,49.2039,1.4009,0.3411,0.8283,1
0.9331,49.0599,1.9848,0.2271,0.8104,1
0.9444,49.4061,0.4122,0.131,0.4696,4
1.0477,50.7211,0.852,0.4069,0.7298,3
1.0163,50.0941,0.3663,0.3266,0.0819,0
0.9464,49.4793,1.9885,0.3914,0.6729,1
0.885,49.5433,1.6746,0.3174,0.6175,1
0.9509,49.2209,1.586,0.3593,0.9262,1
0.9604,48.2484,0.5499,0.6685,0.7896,3
0.8301,49.9194,0.8059,0.22,0.6759,2
0.9707,51.5997,0.5571,0.6784,0.52,3
1.0136,49.8316,0.5012,0.7934,0.0818,0
0.8113,49.4951,0.7069,0.2338,0.7871,2
0.9352,49.2461,1.4254,0.548,0.741,1
0.9629,49.2323,0.3525,0.5825,0.5635,3
0.9562,49.0999,1.7645,0.5125,0.6139,1
0.9842,50.0581,0.3811,0.8697,0.0049,0
0.9343,49.6642,1.6232,0.5052,0.8296,1
0.894,49.2515,0.5672,0.1441,0.4617,4
0.9199,49.2709,1.737,0.3047,0.7041,1
0.9557,48.9022,0.999,0.3201,0.4611,3
0.9971,50.1595,0.4226,0.3527,0.1023,0
0.8735,49.8386,0.885,0.1871,0.62,2
0.9369,49.6491,1.7826,0.5175,0.8035,1
1.0291,50.1168,0.3184,0.5964,0.0541,0
0.8943,49.6429,0.731,0.0918,0.4888,4
0.8438,49.8452,0.8351,0.2232,0.6638,2
0.8589,49.7779,0.7854,0.0675,0.756,4
0.8141,49.9461,0.8859,0.2763,0.8071,2
0.9146,49.6375,1.4332,0.2497,0.6612,1
0.893,49.6543,1.5353,0.579,0.8076,1
0.8931,49.4255,0.9445,0.2653,0.5501,2
0.8676,49.2841,0.9487,0.2775,0.7323,2
0.9327,49.5044,1.7631,0.537,0.8254,1
0.9749,50.1794,0.5855,0.4588,0.0316,0
0.9,49.5112,0.6988,0.0941,0.5804,4
0.8531,49.9242,0.9795,0.1892,0.5292,2
0.9795,49.9662,0.4322,0.5041,0.0216,0
0.8808,49.9747,1.1828,0.1392,0.6482,2
0.8627,49.1934,0.4735,0.0674,0.5134,4
0.9874,49.9537,0.5077,0.449,0.1298,0
0.9451,49.6536,1.8327,0.2759,0.6637,1
0.906,49.7033,0.6984,0.0135,0.627,4
1.046,51.1588,0.3354,0.4969,0.7971,3
0.9643,50.8397,0.3938,0.3587,0.5646,3
0.9739,51.4414,0.4363,0.5319,0.4331,3
0.904,49.4399,0.8952,0.0935,0.725,4
0.958,49.2757,1.8769,0.3356,0.9756,1
0.8959,49.3564,1.7,0.2181,0.6548,1
0.8884,49.6674,0.6043,0.3679,0.5559,2
0.8882,49.3144,0.7699,0.1264,0.7172,4
0.9494,49.4259,0.8252,0.045,0.8171,4
0.8364,49.2986,0.7916,0.1923,0.8595,2
1.0058,49.9062,0.5278,0.8832,0.0868,0
0.9377,49.4085,1.5023,0.4516,0.8479,1
0.9477,48.041,0.9637,0.2659,0.4085,3
0.8461,49.5717,0.6427,0.2505,0.7446,2
1.0347,48.081,0.3967,0.3244,0.5463,3
0.9931,50.9251,0.9385,0.4054,0.5594,3
0.8671,49.373,0.6726,0.2674,0.5899,2
0.8848,49.8344,0.9832,0.2467,0.6919,2
0.962,49.6363,0.5641,0.0183,0.7545,4
1.0375,51.1487,0.8411,0.2879,0.4189,3
0.9908,49.977,0.3282,0.5874,0.0303,0
0.8825,49.4496,0.563,0.0164,0.7834,4
0.8994,49.4689,1.7186,0.4552,0.621,1
0.9696,51.5855,0.3962,0.7787,0.8401,3
0.9126,49.6545,1.927,0.391,0.6798,1
0.8353,49.7813,1.1356,0.1268,0.7297,2
0.9386,49.6803,0.4224,0.1382,0.638,4
0.9547,49.0254,1.9017,0.5152,0.6745,1
0.8964,49.2083,0.8976,0.1322,0.8932,2
0.85,49.7772,0.867,0.3668,0.5537,2
0.9062,49.1542,0.4676,0.0244,0.6565,4
0.879,49.2127,0.736,0.1885,0.7698,2
0.894,49.5993,1.9382,0.5308,0.8061,1
0.994,49.8382,0.6908,0.5865,0.1404,0
0.9856,49.8942,0.5769,0.8724,0.0453,0
0.8514,49.5229,0.8157,0.0093,0.5032,4
0.8176,49.8175,1.1462,0.3663,0.8079,2
1.0083,50.1763,0.3838,0.4325,0.1436,0
0.9484,48.7875,0.5911,0.5295,0.6119,3
0.9462,49.6605,0.8571,0.1021,0.7181,4
1.0015,50.0113,0.3809,0.8503,0.0168,0
0.9583,49.1617,0.722,0.0247,0.8345,4
0.9439,51.4581,0.3637,0.5062,0.7639,3
0.9458,51.4331,0.6912,0.6037,0.5387,3
0.9938,50.1266,0.5729,0.647,0.0068,0
0.877,49.687,0.5422,0.3683,0.8945,2
0.9338,51.6997,0.8361,0.787,0.6906,3
0.9749,48.5831,0.942,0.4265,0.4361,3
0.866,49.6882,0.4712,0.1489,0.6269,4
0.9382,49.1559,1.4021,0.2091,0.7193,1
0.9009,49.3034,0.5378,0.0691,0.5198,4
0.955,49.5075,1.4677,0.5238,0.7677,1
0.9844,49.8269,0.497,0.5679,0.1008,0
0.9847,49.8177,0.4195,0.6239,0.1132,0
0.9784,50.1974,0.3171,0.8498,0.0864,0
0.9218,49.538,0.5924,0.0453,0.5145,4
0.8765,49.2404,0.4366,0.1423,0.8459,4
0.9301,49.299,1.6974,0.5889,0.9766,1
1.0243,51.2412,0.4045,0.4259,0.7395,3
0.9589,51.8148,0.401,0.4778,0.4259,3
1.0461,48.1743,0.47,0.322,0.691,3
1.0317,51.642,0.4333,0.3611,0.7032,3
0.8547,49.0582,0.8828,0.0881,0.7522,4
0.9184,49.6086,1.5998,0.5828,0.6061,1
0.957,49.0821,1.9997,0.3916,0.697,1
0.9345,49.3173,0.5436,0.0482,0.5774,4
0.994,51.04,0.659,0.4984,0.4444,3
1.0214,50.9641,0.519,0.2274,0.7888,3
0.8813,49.3873,1.7504,0.488,0.7181,1
0.9064,49.2659,1.9,0.3997,0.8618,1
0.8283,49.9394,1.1766,0.2925,0.6962,2
0.9386,49.2465,1.484,0.4186,0.6736,1
0.9688,49.7658,0.7144,0.1259,0.4834,4
1.0159,49.965,0.6213,0.4389,0.1061,0
0.9831,49.9824,0.2302,0.6826,0.1401,0
1.0091,51.3919,0.5879,0.21,0.725,3
0.9673,49.0137,0.8879,0.1011,0.8128,4
0.8886,49.0674,1.4893,0.2768,0.8106,1
0.8294,49.5572,0.7611,0.2218,0.726,2
0.904,49.5796,1.4484,0.5967,0.86,1
0.9756,49.9517,0.4764,0.3337,0.0014,0
0.8866,49.5917,1.7869,0.3325,0.9909,1
1.0237,50.1677,0.3149,0.8408,0.1038,0
0.9071,49.0372,0.4446,0.1388,0.8547,4
0.929,49.1435,0.9103,0.0023,0.5432,4
0.9402,49.4989,1.639,0.2308,0.665,1
0.9253,49.5946,1.8062,0.4162,0.7535,1
0.9432,49.4825,1.4471,0.4982,0.7383,1
0.9962,50.1355,0.3703,0.7614,0.1432,0
1.0463,51.5244,0.8485,0.4703,0.5027,3
0.9629,49.3455,0.8078,0.0991,0.4886,4
0.8854,49.1972,0.4441,0.0402,0.621,4
0.9392,49.2217,1.4639,0.2021,0.7233,1
0.8837,49.292,0.5611,0.2293,0.7228,2
0.899,49.021,0.6123,0.014,0.7191,4
0.895,49.2111,0.7897,0.3338,0.7899,2
0.9586,49.7825,0.7432,0.0254,0.6213,4
0.9015,49.1879,1.4876,0.2669,0.7104,1
0.8533,49.2692,0.6762,0.174,0.75,2
0.924,49.3663,0.4813,0.001,0.6281,4
0.8956,49.6898,0.6641,0.0646,0.8206,4
0.8663,49.2565,0.9684,0.0301,0.5914,4
1.0462,51.6034,0.6437,0.5455,0.5091,3
0.9636,48.4745,0.9524,0.3199,0.8488,3
0.9345,49.3851,1.9718,0.3846,0.8833,1
1.0257,48.0899,0.8935,0.677,0.7028,3
0.9307,49.1694,1.7952,0.4861,0.9156,1
0.9969,50.0392,0.4911,0.6206,0.1385,0
0.9952,48.4674,0.9269,0.5221,0.6872,3
0.9766,49.8993,0.5323,0.3998,0.0919,0
0.968,49.542,0.6398,0.1129,0.8846,4
0.9427,50.9886,0.8228,0.5348,0.7094,3
0.9157,49.2738,1.8634,0.4354,0.8002,1
0.9097,49.6345,0.7068,0.3762,0.5343,2
0.9079,49.2401,1.8706,0.4084,0.7393,1
0.9963,50.0787,0.3595,0.4802,0.1215,0
0.9714,49.9372,0.2547,0.78,0.1395,0
0.9213,49.3863,1.5986,0.3705,0.7848,1
1.0056,51.5545,0.5769,0.6424,0.7974,3
1.0011,51.6162,0.444,0.6514,0.7639,3
1.0046,50.1198,0.4684,0.5195,0.0296,0
0.9857,50.1451,0.4639,0.6835,0.0895,0
0.8971,49.0914,0.6112,0.0687,0.5276,4
0.9011,49.7312,0.9705,0.194,0.5954,2
0.981,50.0774,0.4554,0.5509,0.0207,0
0.9808,51.3986,0.9434,0.7584,0.478,3
0.9192,49.0982,1.5887,0.3804,0.6214,1
0.9047,49.6361,0.6366,0.2152,0.7246,2
0.9791,51.6232,0.6107,0.3004,0.6544,3
0.9034,49.1924,1.7226,0.2673,0.7829,1
0.996,50.8485,0.8426,0.694,0.5651,3
1.0156,49.9765,0.3093,0.5551,0.1104,0
0.9038,49.6995,1.6698,0.3394,0.9267,1
1.0338,51.7555,0.4469,0.6426,0.7101,3
0.9259,49.1328,0.4835,0.031,0.5431,4
1.0042,50.0129,0.4984,0.401,0.1469,0
0.8318,49.4406,1.1006,0.3956,0.7717,2
0.9781,50.1,0.4058,0.3356,0.0416,0
0.9361,49.0929,1.4877,0.3288,0.699,1
0.9887,48.3493,0.59,0.4712,0.6851,3
0.9942,50.0999,0.5474,0.8264,0.0682,0
0.9693,51.7064,0.8129,0.6386,0.6063,3
0.8935,49.9161,0.7784,0.3904,0.8299,2
0.9622,48.4391,0.7046,0.5397,0.6184,3
0.8984,49.886,0.5322,0.2879,0.8347,2
0.9775,50.1431,0.4206,0.3004,0.1437,0
0.9597,49.6366,1.9293,0.3207,0.9498,1
0.8103,49.5244,0.5577,0.2994,0.7596,2
0.9938,49.9222,0.5497,0.4405,0.0983,0
0.9701,49.9907,0.2663,0.4357,0.102,0
0.9705,49.9374,0.2603,0.8162,0.1041,0
0.9385,51.65,0.3717,0.388,0.7964,3
0.9106,49.5694,1.9247,0.4566,0.8709,1
1.0018,49.8034,0.525,0.5641,0.1084,0
0.9536,49.4313,1.6654,0.2869,0.9586,1
0.9402,49.4127,1.6304,0.5853,0.7258,1
0.8998,49.4512,1.5489,0.4404,0.8885,1
0.8857,49.8214,1.0935,0.2975,0.6207,2
0.9228,49.1509,0.6351,0.0969,0.8027,4
0.9196,49.0789,1.6997,0.4376,0.8113,1
1.0292,50.1736,0.266,0.8165,0.0853,0
0.8601,49.3555,0.8297,0.3962,0.5292,2
0.8581,49.2097,0.4239,0.0091,0.8052,4
0.8844,49.5701,0.8603,0.0635,0.631,4
0.9145,49.1221,0.4502,0.0119,0.8644,4
0.9229,49.2735,1.7806,0.5338,0.8724,1
0.9886,49.975,0.6767,0.4432,0.0367,0
0.9439,48.0715,0.7663,0.5948,0.479,3
1.0125,50.0806,0.2819,0.8718,0.0785,0
0.8184,49.3142,1.0468,0.1806,0.8546,2
0.9901,49.9717,0.4619,0.4578,0.1463,0
0.9998,50.0043,0.2277,0.8156,0.025,0
0.9004,49.072,1.7443,0.4891,0.6914,1
0.8503,49.687,0.4074,0.0069,0.6138,4
0.8943,49.6722,1.4212,0.5212,0.8856,1
0.9569,51.8906,0.524,0.6956,0.6572,3
1.0001,50.1608,0.2897,0.7826,0.1472,0
0.9383,51.067,0.8914,0.3964,0.6489,3
0.9921,49.9166,0.5923,0.7437,0.0364,0
0.8651,49.644,1.0408,0.1586,0.8602,2
0.892,49.6527,1.4143,0.4166,0.8544,1
1.0271,49.8006,0.5287,0.8094,0.1091,0
0.9823,50.1932,0.4099,0.8767,0.1459,0
0.9369,49.0651,1.9528,0.5589,0.8079,1
0.8504,49.8731,0.9065,0.2516,0.7549,2
0.939,48.5655,0.975,0.3421,0.5174,3
0.9019,49.5537,1.0823,0.1979,0.6811,2
0.886,49.1419,1.868,0.4339,0.6622,1
0.916,49.2198,1.4724,0.3433,0.9081,1
0.967,50.8559,0.4103,0.6116,0.7719,3
0.8548,49.6687,0.5967,0.0137,0.5617,4
0.8436,49.2441,0.7092,0.346,0.5695,2
1.0326,48.7152,0.3663,0.2611,0.7572,3
0.9707,50.1321,0.6913,0.3784,0.1236,0
0.8755,50.0438,0.5588,0.2758,0.867,2
0.9713,49.8258,0.6512,0.5661,0.0193,0
0.8135,50.0481,0.5354,0.3772,0.6733,2
0.9895,51.2547,0.5478,0.745,0.5237,3
1.036,51.5049,0.472,0.3771,0.5854,3
0.9075,49.0702,0.6298,0.0629,0.7392,4
0.8799,49.7953,0.7262,0.0029,0.6221,4
0.8528,49.9033,0.7408,0.2697,0.6286,2
0.8198,49.487,0.6533,0.3687,0.8114,2
1.0185,49.9887,0.3787,0.6504,0.0349,0
0.888,49.4598,1.5599,0.5265,0.9669,1
1.0158,50.1791,0.4878,0.8896,0.0583,0
0.8941,49.4148,1.8837,0.4791,0.9656,1
1.0122,49.9407,0.4838,0.3853,0.1423,0
0.9951,50.7494,0.3393,0.561,0.409,3
0.9301,48.2619,0.3913,0.6302,0.8135,3
0.8066,49.3329,0.9933,0.1425,0.5444,2
0.9533,49.7684,0.6242,0.1413,0.628,4
0.9902,49.929,0.6879,0.7394,0.0655,0
1.0079,51.9594,0.7855,0.7573,0.7541,3
0.9332,49.5701,1.627,0.4936,0.7178,1
0.9383,49.6642,1.9692,0.3566,0.9977,1
0.8539,49.4819,0.9526,0.1451,0.5494,4
0.8625,49.3969,0.5987,0.0117,0.6061,4
0.8185,49.9968,0.5621,0.3127,0.7556,2
0.8491,49.4387,0.6747,0.1203,0.6027,2
1.0132,49.8193,0.4191,0.5518,0.025,0
0.9892,51.4098,0.371,0.4877,0.7888,3
0.893,49.0516,1.9075,0.318,0.7275,1
0.9745,49.868,0.3877,0.7392,0.0821,0
0.9903,50.1941,0.6466,0.7227,0.0647,0
0.9286,49.3039,1.4321,0.3324,0.9898,1
1.0137,48.949,0.4857,0.3689,0.5069,3
0.9936,50.0199,0.4455,0.3327,0.0006,0
0.9877,50.0648,0.5001,0.4198,0.0039,0
0.9311,49.6839,1.6841,0.2462,0.914,1
0.9887,48.1185,0.6809,0.3109,0.7985,3
0.8205,49.2402,0.8078,0.179,0.8348,2
0.8574,49.6018,0.8005,0.0129,0.6047,4
0.8997,49.6052,0.5365,0.0091,0.6242,4
0.9002,49.4284,0.9201,0.0712,0.8467,4
0.9659,51.8101,0.3243,0.5427,0.6326,3
0.9313,49.4962,0.4722,0.1136,0.5278,4
0.9578,49.5659,1.4757,0.3693,0.9953,1
0.9542,48.1922,0.7165,0.3918,0.7272,3
0.9752,50.0225,0.476,0.814,0.078,0
1.0172,50.0492,0.4613,0.5518,0.0622,0
0.9253,49.4079,1.9789,0.2401,0.6423,1
1.0171,50.147,0.6401,0.8267,0.0396,0
0.9986,50.9239,0.5821,0.5709,0.7064,3
0.9347,48.4309,0.4663,0.6474,0.8144,3
0.8022,49.9356,0.7121,0.1841,0.6966,2
1.0283,49.8912,0.3502,0.7462,0.1161,0
